Cell	Twin	Case	Sample	index.sort	Clones
X163_rest_02_A01	163	MS	CSF	Other	ND
X163_rest_02_A02	163	MS	CSF	Other	ND
X163_rest_02_A03	163	MS	CSF	Other	ND
X163_rest_02_A04	163	MS	CSF	Other	ND
X163_rest_02_A05	163	MS	CSF	Other	ND
X163_rest_02_A06	163	MS	CSF	Other	ND
X163_rest_02_A07	163	MS	CSF	Other	ND
X163_rest_02_A08	163	MS	CSF	Other	ND
X163_rest_02_A09	163	MS	CSF	Other	ND
X163_rest_02_A10	163	MS	CSF	Other	ND
X163_rest_02_A11	163	MS	CSF	Other	ND
X163_rest_02_A12	163	MS	CSF	Other	ND
X163_rest_02_B01	163	MS	CSF	Other	ND
X163_rest_02_B02	163	MS	CSF	Other	ND
X163_rest_02_B03	163	MS	CSF	Other	ND
X163_rest_02_B04	163	MS	CSF	Other	ND
X163_rest_02_B05	163	MS	CSF	Other	ND
X163_rest_02_B06	163	MS	CSF	Other	ND
X163_rest_02_B07	163	MS	CSF	Other	ND
X163_rest_02_B08	163	MS	CSF	Other	ND
X163_rest_02_B09	163	MS	CSF	Other	ND
X163_rest_02_B10	163	MS	CSF	Other	ND
X163_rest_02_B11	163	MS	CSF	Other	ND
X163_rest_02_B12	163	MS	CSF	Other	ND
X163_rest_02_C01	163	MS	CSF	CD8Tcell	1
X163_rest_02_C02	163	MS	CSF	CD8Tcell	3
X163_rest_02_C03	163	MS	CSF	CD8Tcell	2
X163_rest_02_C04	163	MS	CSF	CD8Tcell	1
X163_rest_02_C05	163	MS	CSF	CD8Tcell	1
X163_rest_02_C06	163	MS	CSF	CD8Tcell	3
X163_rest_02_C07	163	MS	CSF	CD8Tcell	3
X163_rest_02_C08	163	MS	CSF	CD8Tcell	2
X163_rest_02_C09	163	MS	CSF	CD8Tcell	1
X163_rest_02_C10	163	MS	CSF	CD8Tcell	1
X163_rest_02_C11	163	MS	CSF	CD8Tcell	1
X163_rest_02_C12	163	MS	CSF	CD8Tcell	3
X163_rest_02_D01	163	MS	CSF	CD8Tcell	1
X163_rest_02_D02	163	MS	CSF	CD8Tcell	1
X163_rest_02_D03	163	MS	CSF	CD8Tcell	1
X163_rest_02_D04	163	MS	CSF	CD8Tcell	1
X163_rest_02_D05	163	MS	CSF	CD4Tcell	1
X163_rest_02_D06	163	MS	CSF	CD8Tcell	1
X163_rest_02_D07	163	MS	CSF	CD8Tcell	1
X163_rest_02_D08	163	MS	CSF	CD8Tcell	1
X163_rest_02_D09	163	MS	CSF	CD8Tcell	3
X163_rest_02_D10	163	MS	CSF	Rest	ND
X163_rest_02_D11	163	MS	CSF	CD3	ND
X163_rest_02_D12	163	MS	CSF	CD4Tcell	1
X163_rest_02_E01	163	MS	CSF	CD4Tcell	1
X163_rest_02_E02	163	MS	CSF	CD8Tcell	1
X163_rest_02_E03	163	MS	CSF	Rest	ND
X163_rest_02_E04	163	MS	CSF	CD3	ND
X163_rest_02_E05	163	MS	CSF	CD8Tcell	1
X163_rest_02_E06	163	MS	CSF	CD4Tcell	1
X163_rest_02_E07	163	MS	CSF	CD8Tcell	2
X163_rest_02_E08	163	MS	CSF	CD8Tcell	2
X163_rest_02_E09	163	MS	CSF	CD8Tcell	1
X163_rest_02_E10	163	MS	CSF	CD8Tcell	3
X163_rest_02_E11	163	MS	CSF	CD8Tcell	2
X163_rest_02_E12	163	MS	CSF	CD8Tcell	2
X163_rest_02_F01	163	MS	CSF	CD8Tcell	1
X163_rest_02_F02	163	MS	CSF	CD8Tcell	1
X163_rest_02_F03	163	MS	CSF	Rest	ND
X163_rest_02_F04	163	MS	CSF	CD8Tcell	1
X163_rest_02_F05	163	MS	CSF	CD3	ND
X163_rest_02_F06	163	MS	CSF	CD8Tcell	1
X163_rest_02_F07	163	MS	CSF	CD4Tcell	1
X163_rest_02_F08	163	MS	CSF	CD8Tcell	1
X163_rest_02_F09	163	MS	CSF	CD4Tcell	1
X163_rest_02_F10	163	MS	CSF	CD3	ND
X163_rest_02_F11	163	MS	CSF	CD8Tcell	2
X163_rest_02_F12	163	MS	CSF	CD8Tcell	3
X163_rest_02_G01	163	MS	CSF	CD8Tcell	1
X163_rest_02_G02	163	MS	CSF	CD8Tcell	1
X163_rest_02_G03	163	MS	CSF	CD3	ND
X163_rest_02_G04	163	MS	CSF	CD4Tcell	3
X163_rest_02_G05	163	MS	CSF	CD8Tcell	1
X163_rest_02_G06	163	MS	CSF	CD8Tcell	3
X163_rest_02_G07	163	MS	CSF	CD8Tcell	1
X163_rest_02_G08	163	MS	CSF	CD4Tcell	1
X163_rest_02_G09	163	MS	CSF	CD8Tcell	3
X163_rest_02_G10	163	MS	CSF	CD8Tcell	1
X163_rest_02_G11	163	MS	CSF	CD8Tcell	1
X163_rest_02_G12	163	MS	CSF	CD8Tcell	1
X163_rest_02_H01	163	MS	CSF	CD8Tcell	3
X163_rest_02_H02	163	MS	CSF	CD8Tcell	3
X163_rest_02_H03	163	MS	CSF	CD3	ND
X163_rest_02_H04	163	MS	CSF	CD8Tcell	1
X163_rest_02_H05	163	MS	CSF	CD8Tcell	1
X163_rest_02_H06	163	MS	CSF	CD8Tcell	1
X163_rest_02_H07	163	MS	CSF	CD8Tcell	1
X163_rest_02_H08	163	MS	CSF	NK 	ND
X163_rest_02_H09	163	MS	CSF	NK 	ND
X163_rest_02_H10	163	MS	CSF	NK 	ND
X163_rest_02_H11	163	MS	CSF	NK 	ND
X163_rest_02_H12	163	MS	CSF	Rest	ND
X164_CD4_02_A01	164	HD	CSF	CD4Tcell	2
X164_CD4_02_A02	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A03	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A04	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A05	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A06	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A07	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A08	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A09	164	HD	CSF	CD4Tcell	2
X164_CD4_02_A10	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A11	164	HD	CSF	CD4Tcell	1
X164_CD4_02_A12	164	HD	CSF	CD4	ND
X164_CD4_02_B01	164	HD	CSF	CD4	ND
X164_CD4_02_B02	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B03	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B04	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B05	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B06	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B07	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B08	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B09	164	HD	CSF	CD4	ND
X164_CD4_02_B10	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B11	164	HD	CSF	CD4Tcell	1
X164_CD4_02_B12	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C01	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C02	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C03	164	HD	CSF	CD4	ND
X164_CD4_02_C04	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C05	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C06	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C07	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C08	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C09	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C10	164	HD	CSF	CD4Tcell	1
X164_CD4_02_C11	164	HD	CSF	CD4Tcell	2
X164_CD4_02_C12	164	HD	CSF	CD4Tcell	1
X164_CD4_02_D01	164	HD	CSF	CD4Tcell	1
X164_CD4_02_D02	164	HD	CSF	CD4	ND
X164_CD4_02_D03	164	HD	CSF	CD4Tcell	1
X164_CD4_02_D04	164	HD	CSF	CD4Tcell	1
X164_CD4_02_D05	164	HD	CSF	CD4Tcell	1
X164_CD4_02_D06	164	HD	CSF	CD4Tcell	1
X164_CD4_02_D07	164	HD	CSF	CD4	ND
X164_CD4_02_D08	164	HD	CSF	CD4Tcell	1
X164_CD4_02_D09	164	HD	CSF	CD4	ND
X164_CD4_02_D10	164	HD	CSF	CD4Tcell	1
X164_CD4_02_D11	164	HD	CSF	CD4	ND
X164_CD4_02_D12	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E01	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E02	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E03	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E04	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E05	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E06	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E07	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E08	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E09	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E10	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E11	164	HD	CSF	CD4Tcell	1
X164_CD4_02_E12	164	HD	CSF	CD4	ND
X164_CD4_02_F01	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F02	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F03	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F04	164	HD	CSF	CD4	ND
X164_CD4_02_F05	164	HD	CSF	CD4Tcell	2
X164_CD4_02_F06	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F07	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F08	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F09	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F10	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F11	164	HD	CSF	CD4Tcell	1
X164_CD4_02_F12	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G01	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G02	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G03	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G04	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G05	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G06	164	HD	CSF	CD4	ND
X164_CD4_02_G07	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G08	164	HD	CSF	CD4	ND
X164_CD4_02_G09	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G10	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G11	164	HD	CSF	CD4Tcell	1
X164_CD4_02_G12	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H01	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H02	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H03	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H04	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H05	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H06	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H07	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H08	164	HD	CSF	CD4	ND
X164_CD4_02_H09	164	HD	CSF	CD4	ND
X164_CD4_02_H10	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H11	164	HD	CSF	CD4Tcell	1
X164_CD4_02_H12	164	HD	CSF	CD4	ND
X164_PBMCs_CD8CD4_A01	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_A02	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_A03	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_A04	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_A05	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_A06	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	3
X164_PBMCs_CD8CD4_A07	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_A08	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_A09	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_A10	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_A11	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_A12	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B01	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B02	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	3
X164_PBMCs_CD8CD4_B03	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B04	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B05	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_B06	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B07	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B08	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B09	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B10	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B11	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_B12	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_C01	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_C02	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C03	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C04	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C05	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C06	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_C07	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C08	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C09	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C10	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C11	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_C12	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_D01	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_D02	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	3
X164_PBMCs_CD8CD4_D03	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_D04	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_D05	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	3
X164_PBMCs_CD8CD4_D06	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_D07	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	3
X164_PBMCs_CD8CD4_D08	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	3
X164_PBMCs_CD8CD4_D09	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	1
X164_PBMCs_CD8CD4_D10	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_D11	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	ND
X164_PBMCs_CD8CD4_D12	164_PBMCs	HD_PBMCs	CD8_PBMCs	CD8	3
X164_PBMCs_CD8CD4_E01	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E02	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E03	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E04	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E05	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E06	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E07	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	ND
X164_PBMCs_CD8CD4_E08	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E09	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E10	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E11	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_E12	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F01	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F02	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F03	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F04	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F05	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F06	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F07	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F08	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F09	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F10	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	ND
X164_PBMCs_CD8CD4_F11	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_F12	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G01	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G02	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G03	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G04	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G05	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G06	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G07	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G08	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G09	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G10	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G11	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_G12	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H01	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H02	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H03	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H04	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H05	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H06	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	ND
X164_PBMCs_CD8CD4_H07	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H08	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H09	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	ND
X164_PBMCs_CD8CD4_H10	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H11	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	1
X164_PBMCs_CD8CD4_H12	164_PBMCs	HD_PBMCs	CD4_PBMCs	CD4	ND
X164_PBMCs_others_A01	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_A02	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	1
X164_PBMCs_others_A03	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	1
X164_PBMCs_others_A04	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_A05	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_A06	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	1
X164_PBMCs_others_A07	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	1
X164_PBMCs_others_A08	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	1
X164_PBMCs_others_A09	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_A10	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_A11	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_A12	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	1
X164_PBMCs_others_B01	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B02	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B03	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B04	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B05	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B06	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B07	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B08	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B09	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	1
X164_PBMCs_others_B10	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B11	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	ND
X164_PBMCs_others_B12	164_PBMCs	HD_PBMCs	Others_PBMCs	CD3	1
X164_PBMCs_others_C01	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C02	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C03	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	1
X164_PBMCs_others_C04	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C05	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C06	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C07	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C08	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	1
X164_PBMCs_others_C09	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C10	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C11	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_C12	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D01	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	1
X164_PBMCs_others_D02	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D03	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D04	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D05	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D06	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	1
X164_PBMCs_others_D07	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D08	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D09	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D10	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D11	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_D12	164_PBMCs	HD_PBMCs	Others_PBMCs	Other	ND
X164_PBMCs_others_E01	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_E02	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_E03	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_E04	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_E05	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_E06	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_E07	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_E08	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_E09	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_E10	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_E11	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_E12	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_F01	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_F02	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_F03	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_F04	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_F05	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
X164_PBMCs_others_F06	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_F07	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	ND
X164_PBMCs_others_F08	164_PBMCs	HD_PBMCs	CD19CD27_PBMCs	CD19CD27	1
